City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Puerto Escondido,MX,87.21,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
547,Capaci,IT,77.5,clear sky,38.1711,13.2393,Hotel Sirenetta
548,Nishihara,JP,78.94,clear sky,26.1842,127.7558,Minshuku Agaihama
549,Teshie,GH,79.12,scattered clouds,5.5836,-0.1072,Adinkra Lodge
552,Cabimas,VE,89.2,overcast clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
566,Kuryk,KZ,75.33,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
569,Aljustrel,PT,80.13,clear sky,37.8776,-8.1652,Hotel Villa Aljustrel
571,Sharjah,AE,88.3,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
574,Kathua,IN,77.97,clear sky,32.3667,75.5167,Avalon Residency
575,Mumford,GH,77.25,scattered clouds,5.2618,-0.759,Spanish Villa
578,Salalah,OM,79.56,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
581,Bandarbeyla,SO,77.83,overcast clouds,9.4942,50.8122,JABIR HOTEL
584,Buchanan,LR,80.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
585,Bantogon,PH,77.54,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
592,Socorro,US,81.1,overcast clouds,31.6546,-106.3033,guarderia imss papalote
593,Dingli,MT,76.82,overcast clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
598,Road Town,VG,87.01,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
600,Naranjal,EC,86.86,overcast clouds,-2.6667,-79.6167,Media Naranja
603,Gonbad-E Qabus,IR,76.19,broken clouds,37.25,55.1672,Samin Building
610,Taitung,TW,80.89,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
611,Gunjur,GM,82.69,scattered clouds,13.2019,-16.7339,Kuba Lodge
615,Hirara,JP,83.52,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
619,Tagusao,PH,77.27,overcast clouds,9.1924,117.8141,Toledo
620,Sarangani,PH,82.06,overcast clouds,5.4033,125.4636,Ballistic Islet
624,Sibolga,ID,75.52,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
626,Guerrero Negro,MX,84.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
628,Somotillo,NI,89.6,overcast clouds,13.0433,-86.9064,Las Lomas Somotillo
