City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Palmer,US,42.1584,-72.3287,74.68,63,59,1.99,broken clouds
296,Sitka,US,57.0531,-135.33,52.65,94,100,6.26,light rain
297,Kerrobert,CA,51.9168,-109.1348,61.86,32,15,12.88,few clouds
298,Talas,TR,38.6908,35.5538,68.43,37,22,5.28,few clouds
299,Kyra,RU,49.5776,111.9753,48.11,93,86,4.27,overcast clouds
300,Port Shepstone,ZA,-30.7414,30.455,63.66,59,37,12.48,scattered clouds
301,Norman Wells,CA,65.282,-126.8329,43.99,74,100,11.48,overcast clouds
302,Keetmanshoop,NA,-26.5833,18.1333,70.3,13,1,9.55,clear sky
303,North Bend,US,43.4065,-124.2243,66.85,47,26,1.36,scattered clouds
304,Kemijarvi,FI,66.7131,27.4306,33.08,90,33,5.03,scattered clouds
305,Poum,NC,-20.2333,164.0167,74.23,70,98,7.87,overcast clouds
306,Itaituba,BR,-4.2761,-55.9836,100.71,27,67,3.27,broken clouds
307,Karangampel,ID,-6.4622,108.4519,79.14,78,99,11.92,overcast clouds
308,Pisco,PE,-13.7,-76.2167,67.01,78,52,7.36,broken clouds
309,Hay River,CA,60.8156,-115.7999,45.95,93,100,9.04,light rain
310,Kati,ML,12.7441,-8.0726,81.07,74,92,6.96,overcast clouds
311,Trincomalee,LK,8.5711,81.2335,81.72,75,32,14.58,scattered clouds
312,Tartagal,AR,-22.5164,-63.8013,67.24,57,100,7.87,overcast clouds
313,Yarada,IN,17.65,83.2667,82.83,80,92,6.51,overcast clouds
314,Jibuti,DJ,11.5,42.5,83.21,61,20,12.39,few clouds
315,San Cristobal,VE,7.7669,-72.225,75.79,72,97,6.33,overcast clouds
316,Fare,PF,-16.7,-151.0167,78.24,70,1,8.16,clear sky
317,Ranong,TH,9.9658,98.6348,77.74,88,100,12.33,overcast clouds
318,Romny,UA,50.751,33.4747,42.73,91,100,10.58,overcast clouds
319,Chokurdakh,RU,70.6333,147.9167,29.82,65,100,8.63,overcast clouds
320,Merauke,ID,-8.4667,140.3333,76.84,86,99,13.91,overcast clouds
321,Northam,GB,51.0333,-4.2167,62.65,87,98,5.5,overcast clouds
322,Zelenogradsk,RU,54.9589,20.4767,54.01,63,100,15.35,overcast clouds
323,Wamba,NG,8.9333,8.6,71.47,98,92,3.71,moderate rain
324,Hambantota,LK,6.1241,81.1185,79.95,81,14,14.94,few clouds
325,Atambua,ID,-9.1061,124.8925,71.85,85,82,4.09,broken clouds
326,Bemidji,US,47.4736,-94.8803,62.15,56,1,5.01,clear sky
327,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.04,70,58,11.27,broken clouds
328,Souillac,MU,-20.5167,57.5167,70.36,71,10,12.15,clear sky
329,Kavieng,PG,-2.5744,150.7967,80.87,78,100,9.82,light rain
330,Banda Aceh,ID,5.5577,95.3222,79.83,78,100,13.71,overcast clouds
331,Graaff-Reinet,ZA,-32.2522,24.5308,51.93,44,97,6.08,overcast clouds
332,Bowen,AU,-20.0167,148.2333,60.66,33,16,18.05,few clouds
333,Hasaki,JP,35.7333,140.8333,73.04,88,46,3.2,scattered clouds
